USERID,score,city,gender,age,equity,balance,products,credit_card,last_activity,EST_SALARY,churn
183012,850.0,Рыбинск,Ж,25.0,1,59214.82,2,0,1,75719.14,1
146556,861.0,Рыбинск,Ж,37.0,5,850594.33,3,1,0,86621.77,0
120722,892.0,Рыбинск,Ж,30.0,0,,1,1,1,107683.34,0
225363,866.0,Ярославль,Ж,51.0,5,1524746.26,2,0,1,174423.53,1
157978,730.0,Ярославль,М,34.0,5,174.0,1,1,0,67353.16,1
202305,856.0,Рыбинск,М,56.0,4,863687.24,3,1,0,156619.8,0
177259,807.0,Ярославль,Ж,39.0,3,405042.44,3,0,1,103838.32,0
218868,825.0,Ярославль,Ж,38.0,4,458145.4,2,1,1,68085.48,0
211686,923.0,Ярославль,М,54.0,5,1206337.87,2,1,0,155371.79,0
133130,906.0,Ярославль,Ж,67.0,0,,1,0,1,238055.53,0
148929,927.0,Ростов,М,52.0,0,,1,1,1,196820.07,0
172184,921.0,Ростов,М,41.0,0,,1,1,1,217469.48,0
132970,845.0,Ярославль,Ж,31.0,3,591928.52,2,1,1,112697.16,1
166357,837.0,Рыбинск,Ж,28.0,4,302249.22,2,0,1,30950.94,0
172138,815.0,Ярославль,М,35.0,5,547499.87,2,1,1,105883.26,0
120260,731.0,Рыбинск,М,42.0,3,1480548.47,3,1,0,160974.43,0
123335,829.0,Ярославль,М,45.0,5,507842.84,1,1,1,169330.64,0
214277,793.0,Ярославль,М,53.0,3,627034.5,2,1,0,183430.19,0
136651,876.0,Ярославль,М,40.0,5,2307947.36,2,0,0,287010.61,0
127034,922.0,Рыбинск,Ж,53.0,0,,1,0,0,147094.82,0
114192,772.0,Ростов,М,43.0,3,1315511.65,2,0,0,143935.71,0
177415,896.0,Рыбинск,Ж,47.0,0,,1,0,0,225060.35,0
161656,871.0,Ярославль,М,51.0,4,708866.92,1,1,0,106407.26,0
118314,732.0,Ярославль,Ж,48.0,2,163725.37,2,0,1,133528.02,0
130826,898.0,Ярославль,Ж,39.0,5,561906.51,1,1,0,151221.69,0
189712,806.0,Ярославль,Ж,61.0,2,288289.94,2,1,1,55366.82,0
174396,898.0,Ярославль,Ж,62.0,3,364049.27,3,0,1,50661.84,0
167316,766.0,Ярославль,М,36.0,1,250543.82,2,1,1,38843.0,0
123660,776.0,Ярославль,М,26.0,1,49105.63,1,1,1,38234.94,0
210799,868.0,Ярославль,М,43.0,3,532311.98,1,1,0,144073.0,0
155730,946.0,Ярославль,Ж,47.0,0,,2,1,1,660015.85,0
152670,806.0,Ростов,Ж,36.0,5,377460.32,2,1,0,102885.09,0
219185,828.0,Ярославль,Ж,45.0,3,409634.94,2,0,0,134770.4,0
125478,786.0,Ростов,Ж,27.0,3,448062.52,3,1,1,37607.67,0
205226,944.0,Ярославль,М,35.0,0,,2,1,1,239843.39,0
221927,863.0,Ростов,М,39.0,5,1461423.33,1,0,1,221699.52,0
199614,822.0,Ярославль,М,60.0,5,1472483.77,1,1,1,89132.67,0
144893,766.0,Ярославль,М,39.0,3,207919.65,1,1,0,153522.35,0
220711,794.0,Ростов,Ж,26.0,2,147487.39,2,0,1,24912.88,0
173175,924.0,Рыбинск,Ж,51.0,0,,1,1,1,248844.47,0
129705,811.0,Рыбинск,М,34.0,2,129799.35,1,0,0,96242.71,1
206939,814.0,Рыбинск,М,56.0,2,1067536.4,2,1,0,95563.19,0
178683,814.0,Ярославль,М,42.0,3,161088.68,1,1,0,116313.55,0
228585,956.0,Ростов,М,41.0,0,,1,1,0,115117.1,0
210313,935.0,Ярославль,М,41.0,5,3781118.22,2,1,0,761349.2,0
118849,826.0,Ярославль,М,31.0,4,333330.99,1,1,1,46981.53,0
118927,921.0,Ярославль,Ж,72.0,1,,1,1,0,253494.7,0
201837,922.0,Ярославль,М,67.0,3,366599.61,2,1,1,246523.17,0
176516,849.0,Рыбинск,М,50.0,2,376382.04,2,1,0,125309.86,0
214314,901.0,Ярославль,Ж,40.0,5,655642.36,2,0,0,224319.39,0
116799,893.0,Ярославль,М,48.0,1,390504.59,2,1,0,85770.48,0
172545,792.0,Ярославль,М,41.0,3,409475.18,1,1,1,152458.99,0
214266,888.0,Ярославль,Ж,37.0,0,,2,0,0,149164.44,0
208625,831.0,Ростов,М,28.0,2,75005.22,2,1,0,70283.32,0
210764,748.0,Рыбинск,М,46.0,2,182889.96,1,1,1,74009.18,1
115677,820.0,Ростов,М,34.0,2,237691.16,2,1,0,23243.72,0
188364,860.0,Ярославль,М,55.0,6,865702.41,2,1,0,76058.0,0
167752,914.0,Ростов,Ж,58.0,0,,2,1,0,116651.71,0
164676,860.0,Ярославль,М,37.0,5,648594.03,2,1,1,213586.86,1
227642,930.0,Ярославль,Ж,36.0,0,,2,1,0,359081.73,0
191602,944.0,Ярославль,Ж,71.0,0,,2,0,1,107801.19,0
136096,896.0,Ярославль,Ж,39.0,5,657597.09,2,0,1,266033.98,1
128486,922.0,Рыбинск,Ж,55.0,0,,2,1,0,146005.18,0
140749,948.0,Ярославль,Ж,34.0,5,3134788.66,2,0,0,199705.32,0
211263,789.0,Ярославль,Ж,38.0,1,283932.13,2,1,1,56381.21,0
183898,829.0,Ростов,М,44.0,2,438549.21,2,1,0,196020.53,0
224917,737.0,Ярославль,Ж,54.0,1,,1,1,0,113173.05,0
208814,812.0,Рыбинск,М,34.0,3,579820.46,2,1,0,174945.81,0
216960,933.0,Ярославль,М,49.0,1,,1,1,1,130281.88,0
129225,809.0,Ярославль,М,42.0,4,371454.1,2,1,1,93829.85,0
164283,749.0,Рыбинск,Ж,48.0,2,234704.58,2,1,0,54234.15,0
141119,792.0,Ростов,Ж,48.0,5,552231.35,2,0,1,116971.72,0
156677,873.0,Ярославль,М,39.0,5,915959.85,3,0,1,154034.62,1
155403,859.0,Рыбинск,М,56.0,5,652553.8,2,1,1,60791.77,1
222208,950.0,Рыбинск,Ж,43.0,4,2332677.14,2,1,1,301845.59,0
153521,825.0,Ярославль,Ж,48.0,4,253966.27,1,1,0,58008.94,0
213688,922.0,Ярославль,Ж,37.0,5,1214707.38,4,0,1,85121.07,0
191976,937.0,Ярославль,М,33.0,5,2061152.96,2,1,1,280670.62,1
203788,835.0,Ярославль,М,35.0,3,256477.33,2,1,0,83751.15,0
191348,768.0,Ярославль,М,36.0,4,963460.2,2,1,1,120197.47,0
148699,767.0,Ярославль,М,32.0,3,962094.24,2,1,0,106305.63,0
223978,850.0,Рыбинск,М,34.0,5,351583.16,4,0,1,115354.97,1
155573,893.0,Рыбинск,Ж,48.0,5,1156992.03,1,1,1,112279.51,0
189395,792.0,Ярославль,Ж,66.0,1,266586.19,3,0,1,51536.94,1
221446,785.0,Рыбинск,Ж,32.0,0,35867.0,1,1,0,140486.76,0
165331,846.0,Ростов,Ж,50.0,5,1303130.78,2,0,0,218591.45,0
153632,750.0,Ростов,М,45.0,0,,1,1,0,296397.19,0
124493,816.0,Рыбинск,М,41.0,1,231972.86,2,1,1,102174.01,1
210088,894.0,Ярославль,М,29.0,3,786911.18,2,1,1,99022.74,1
183512,891.0,Ярославль,Ж,38.0,5,544525.02,2,0,0,115270.96,0
156141,788.0,Ярославль,Ж,40.0,3,313725.58,3,0,1,73128.09,0
190722,758.0,Рыбинск,Ж,68.0,2,1060651.02,2,0,0,23805.09,0
184891,826.0,Ростов,Ж,31.0,2,286655.3,2,1,1,75349.94,0
151650,787.0,Ярославль,Ж,35.0,3,398611.43,3,1,0,62904.39,0
191870,821.0,Ростов,Ж,30.0,3,157677.78,4,0,1,36397.02,0
172823,855.0,Ярославль,М,41.0,1,312743.28,3,0,0,268100.87,0
134157,779.0,Ростов,М,60.0,4,1195619.0,2,0,1,68554.94,0
222468,791.0,Ярославль,Ж,44.0,5,1203154.28,2,1,0,259847.46,0
148473,838.0,Ярославль,Ж,73.0,4,753022.09,2,0,0,41984.51,0
179213,971.0,Ярославль,М,45.0,4,322973.24,2,1,0,167678.82,0
206531,873.0,Ярославль,М,60.0,4,832697.79,2,1,0,70863.43,0
184435,921.0,Ростов,Ж,42.0,0,,1,1,0,232353.5,0
116716,797.0,Ростов,М,26.0,2,109453.53,2,0,1,44593.31,0
128618,841.0,Ростов,М,29.0,1,175505.11,4,1,1,48188.69,0
146867,915.0,Рыбинск,Ж,35.0,0,,1,1,0,156565.52,0
117741,868.0,Рыбинск,Ж,56.0,5,830789.38,2,1,1,30779.42,0
212071,923.0,Ярославль,М,26.0,4,1262394.1,2,1,1,124934.85,1
134358,985.0,Рыбинск,Ж,41.0,4,6749773.07,2,1,0,698013.27,0
227031,870.0,Ярославль,М,39.0,2,2166303.8,2,1,0,198711.08,0
190714,894.0,Ярославль,Ж,48.0,1,,1,1,1,231073.35,0
206691,948.0,Ярославль,М,27.0,0,,2,1,0,104081.58,0
225800,815.0,Ярославль,Ж,49.0,4,421820.4,2,0,0,210482.62,0
130375,841.0,Ярославль,Ж,69.0,3,431061.2,1,1,0,19948.95,0
225218,873.0,Рыбинск,Ж,43.0,4,780034.14,2,0,0,62238.52,0
120107,927.0,Ярославль,Ж,68.0,5,1257139.04,1,1,1,71920.93,0
170204,897.0,Рыбинск,Ж,33.0,4,599008.38,1,1,0,60304.01,0
162149,821.0,Ростов,М,33.0,3,399260.84,2,0,0,82136.6,1
151072,763.0,Ростов,М,38.0,0,37164.84,1,1,0,127907.74,1
148851,787.0,Ростов,М,41.0,5,557547.99,2,1,1,102008.69,0
191385,861.0,Ярославль,М,47.0,4,801449.41,2,1,0,88992.73,0
